Player	Deck	Date Played	Won (Y/N)	Game Number
Nic	Baeloth Goad	23/12/2024	No	79
Ben	Revenant Recon	23/12/2024	Yes	79
Otis	Henzie Blitz	23/12/2024	No	79
Hugh	Miracle Worker	23/12/2024	No	79
Dante	Ur-Dragon Dragons	23/12/2024	No	79
Nic	Baeloth Goad	23/12/2024	No	80
Ben	Revenant Recon	23/12/2024	No	80
Otis	Henzie Blitz	23/12/2024	Yes	80
Hugh	Miracle Worker	23/12/2024	No	80
Dante	Ur-Dragon Dragons	23/12/2024	No	80
Nic	Grist Insects	23/12/2024	No	81
Ben	Rograkh Equipment	23/12/2024	No	81
Otis	Henzie Blitz	23/12/2024	Yes	81
Hugh	Miracle Worker	23/12/2024	No	81
Nic	Baeloth Goad	30/12/2024	Yes	82
Ben	20 Ways to Win	30/12/2024	No	82
Dante	Ur-Dragon Dragons	30/12/2024	No	82
Otis	Henzie Blitz	30/12/2024	No	82
Hugh	Miracle Worker	30/12/2024	Yes	83
Ashe	Peace Offering	30/12/2024	No	83
Jaxon	Inniaz Theft	30/12/2024	No	83
Al	Miiryn Dragons	30/12/2024	No	83
Nic	Grist Insects	30/12/2024	No	84
Ashe	Vito Vampires	30/12/2024	No	84
Otis	Henzie Blitz	30/12/2024	Yes	84
Dante	Ur-Dragon Dragons	30/12/2024	No	84
Ben	20 Ways to Win	30/12/2024	No	84
Ben	20 Ways to Win	30/12/2024	No	85
Ashe	Vito Vampires	30/12/2024	No	85
Dante	Ur-Dragon Dragons	30/12/2024	No	85
Jaxon	Inniaz Theft	30/12/2024	No	85
Otis	Henzie Blitz	30/12/2024	Yes	85
Nic	Mutant Menace	3/01/2025	No	86
Ben	Quick Draw	3/01/2025	Yes	86
Dante	Ur-Dragon Dragons	3/01/2025	No	86
Otis	Creative Energy	3/01/2025	No	86
Nic	Grist Insects	3/01/2025	No	87
Ben	Quick Draw	3/01/2025	Yes	87
Dante	Ur-Dragon Dragons	3/01/2025	No	87
Otis	Henzie Blitz	3/01/2025	No	87
Nic	Draconic Dissent	3/01/2025	No	88
Ben	20 Ways to Win	3/01/2025	No	88
Dante	Graveyard Overdrive	3/01/2025	Yes	88
Nic	Lynde Curse	6/01/2025	No	89
Ben	Revenant Recon	6/01/2025	No	89
Ashe	Peace Offering	6/01/2025	No	89
Otis	Henzie Blitz	6/01/2025	No	89
Hugh	Miracle Worker	6/01/2025	No	89
Dante	Ur-Dragon Dragons	6/01/2025	Yes	89
Nic	Abaddon Demon Cascade	6/01/2025	No	90
Ashe	Minn Illusions	6/01/2025	No	90
Dante	Draconic Dissent	6/01/2025	No	90
Ben	Revenant Recon	6/01/2025	Yes	90
Nic	Abaddon Demon Cascade	18/01/2025	Yes	91
Ben	Quick Draw	18/01/2025	No	91
Otis	Henzie Blitz	18/01/2025	No	91
Nic	Omo Landwalk	18/01/2025	Yes	92
Ben	Quick Draw	18/01/2025	No	92
Otis	Abaddon Demon Cascade	18/01/2025	No	92
Nic	Abaddon Demon Cascade	18/01/2025	No	93
Ben	Voja Elves	18/01/2025	Yes	93
Otis	Graveyard Overdrive	18/01/2025	No	93
Dante	Ur-Dragon Dragons	18/01/2025	No	93
Nic	Abaddon Demon Cascade	18/01/2025	Yes	94
Ben	Eldrazi Incursion	18/01/2025	No	94
Otis	Henzie Blitz	18/01/2025	No	94
Dante	Draconic Dissent	18/01/2025	No	94
Nic	Lynde Curse	19/01/2025	No	95
Ben	Voja Elves	19/01/2025	No	95
Otis	Henzie Blitz	19/01/2025	Yes	95
Dante	Draconic Dissent	19/01/2025	No	95
Ashe	Hugs Creatures	19/01/2025	No	95
Nic	Lynde Curse	19/01/2025	No	96
Ben	Rograkh Equipment	19/01/2025	Yes	96
Ashe	Vito Vampires	19/01/2025	No	96
Dante	Draconic Dissent	19/01/2025	No	96
Nic	Sauron Army	25/01/2025	No	97
Dante	Ur-Dragon Dragons	25/01/2025	No	97
Ben	Prosper Exile	25/01/2025	Yes	97
Nic	Sauron Army	25/01/2025	No	98
Ben	Prosper Exile	25/01/2025	No	98
Dante	Ur-Dragon Dragons	25/01/2025	Yes	98
Nic	Omo Landwalk	25/01/2025	No	99
Dante	Graveyard Overdrive	25/01/2025	Yes	99
Ben	Prosper Exile	25/01/2025	No	99
Nic	Omo Landwalk	25/01/2025	No	100
Ben	Prosper Exile	25/01/2025	Yes	100
Dante	Graveyard Overdrive	25/01/2025	No	100
Nic	Baeloth Goad	27/01/2025	No	101
Ben	Prosper Exile	27/01/2025	No	101
Dante	Graveyard Overdrive	27/01/2025	No	101
Otis	Henzie Blitz	27/01/2025	No	101
Jaxon	Ur-Dragon Dragons	27/01/2025	Yes	101
Nic	Baeloth Goad	27/01/2025	Yes	102
Ben	Prosper Exile	27/01/2025	No	102
Jaxon	Graveyard Overdrive	27/01/2025	No	102
Dante	Ur-Dragon Dragons	27/01/2025	No	102
Nic	Grist Insects	28/01/2025	No	103
Ben	Prosper Exile	28/01/2025	No	103
Otis	Henzie Blitz	28/01/2025	No	103
Hugh	Jumpscare	28/01/2025	Yes	103
Ashe	Hugs Creatures	28/01/2025	No	103
Nic	Mutant Menace	28/01/2025	No	104
Ben	Prosper Exile	28/01/2025	Yes	104
Hugh	Miracle Worker	28/01/2025	No	104
Ashe	Peace Offering	28/01/2025	No	104
Nic	Lynde Curse	2/02/2025	No	105
Ben	Prosper Exile	2/02/2025	Yes	105
Dante	Ur-Dragon Dragons	2/02/2025	No	105
Ashe	Vito Vampires	2/02/2025	No	105
Nic	Baeloth Goad	4/02/2025	No	106
Ben	Prosper Exile	4/02/2025	Yes	106
Otis	Henzie Blitz	4/02/2025	No	106
Hugh	Jumpscare	4/02/2025	No	106
Dante	Ur-Dragon Dragons	4/02/2025	No	106
